Ant
Bat
Beak
Bear
Beast
Beaver
Bee
Bird
Bull
Butterfly
Calf
Camel
Cat
Cattle
Chicken
Cock
Cockroach
Cow
Crocodile
Crow
Deer
Dinosaur
Dog
Dolphin
Donkey
Duck
Eagle
Eel
Elephant
Feather
Fish
Flies
Fly
Fox
Frog
Gazelle
Giraffe
Goat
Goose
Hamster
Hedgehog
Hippopotamus
Hoopoe
Horse
Hyena
Koala
Leopard
Lion
Lizard
Llama
Louses
Monkey
Mosquito
Mouse
Mule
Octopus
Ostrich
Owl
Panda
Parrot
Peafowl
Penguin
Pig
Pigeon
Rabbit
Rat
Rhinoceros
Sardine
Scorpion
Seal
Shark
Sheep
Shrimps
Snail
Snake
Spider
Squirrel
Stork
Tiger
Turkey
Turtle
Wing
Wolf
Worm
Zebra
